fraction_sources,n_sources,reuse_count,source_type,split,source_file
0.0002769315978953,1,171,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0002769315978953,1,172,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0002769315978953,1,174,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0005538631957906,2,175,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0002769315978953,1,176,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0005538631957906,2,177,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0005538631957906,2,179,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0005538631957906,2,180,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0008307947936859,3,182,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0008307947936859,3,183,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0019385211852672,7,184,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0002769315978953,1,185,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0008307947936859,3,186,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0013846579894765,5,187,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0024923843810578,9,188,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0024923843810578,9,189,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0041539739684297,15,190,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0019385211852672,7,191,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0033231791747438,12,192,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0038770423705344,14,193,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0036001107726391,13,194,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0063694267515923,23,195,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0069232899473829,25,196,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0049847687621157,18,197,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0091387427305455,33,198,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0096926059263361,35,199,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0108003323179174,39,200,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0102464691221268,37,201,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0063694267515923,23,202,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0110772639158127,40,203,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0135696482968706,49,204,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.012184990307394,44,205,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0149543062863472,54,206,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0196621434505677,71,207,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0138465798947659,50,208,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0202160066463583,73,209,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0238161174189975,86,210,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0243699806147881,88,211,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0221545278316255,80,212,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0257546386042647,93,213,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0246469122126834,89,214,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0254777070063694,92,215,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0271392965937413,98,216,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0282470229853226,102,217,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0282470229853226,102,218,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0279700913874273,101,219,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0285239545832179,103,220,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0227083910274162,82,221,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0310163389642758,112,222,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0216006646358349,78,223,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0274162281916366,99,224,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0265854333979507,96,225,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0216006646358349,78,226,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0232622542232068,84,227,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0229853226253115,83,228,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0238161174189975,86,229,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0216006646358349,78,230,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0218775962337302,79,231,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0174466906674051,63,232,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
0.0193852118526723,70,233,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_count_histogram.csv
