ecdf,reuse_count,source_type,split,source_file
0.0002769315978953,171,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv
0.0005538631957906,172,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv
0.0008307947936859,174,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv
0.0013846579894765,175,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv
0.0016615895873719,176,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv
0.0022154527831625,177,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv
0.0027693159789531,179,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv
0.0033231791747438,180,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv
0.0041539739684297,182,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv
0.0049847687621157,183,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv
0.0069232899473829,184,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv
0.0072002215452783,185,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv
0.0080310163389642,186,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv
0.0094156743284408,187,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv
0.0119080587094987,188,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv
0.0144004430905566,189,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv
0.0185544170589864,190,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv
0.0204929382442536,191,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv
0.0238161174189975,192,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv
0.0276931597895319,193,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv
0.0312932705621711,194,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv
0.0376626973137635,195,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv
0.0445859872611464,196,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv
0.0495707560232622,197,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv
0.0587094987538078,198,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv
0.068402104680144,199,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv
0.0792024369980614,200,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv
0.0894489061201883,201,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv
0.0958183328717806,202,clean,train,runs/a11_mixed1m_source_reuse_20260816_140553/a11_reuse_ecdf.csv
